Week,trump_mueller_kw
1/29/17,0
2/5/17,0
2/12/17,0
2/19/17,0
2/26/17,0
3/5/17,0
3/12/17,0
3/19/17,0
3/26/17,1
4/2/17,0
4/9/17,0
4/16/17,0
4/23/17,0
4/30/17,0
5/7/17,0
5/14/17,29
5/21/17,4
5/28/17,4
6/4/17,9
6/11/17,80
6/18/17,19
6/25/17,9
7/2/17,8
7/9/17,12
7/16/17,38
7/23/17,23
7/30/17,32
8/6/17,27
8/13/17,26
8/20/17,18
8/27/17,22
9/3/17,14
9/10/17,15
9/17/17,23
9/24/17,23
10/1/17,19
10/8/17,19
10/15/17,17
10/22/17,43
10/29/17,100
11/5/17,39
11/12/17,31
11/19/17,32
11/26/17,40
12/3/17,61
12/10/17,51
12/17/17,76
12/24/17,38
12/31/17,36
1/7/18,43
1/14/18,32
1/21/18,84
1/28/18,64
2/4/18,46
2/11/18,45
2/18/18,53
2/25/18,52
3/4/18,60
3/11/18,75
3/18/18,98
3/25/18,51
4/1/18,53
4/8/18,94
4/15/18,64
4/22/18,40
4/29/18,68
5/6/18,45
5/13/18,44
5/20/18,43
5/27/18,40
6/3/18,45
6/10/18,39
6/17/18,45
6/24/18,45
7/1/18,43
7/8/18,52
7/15/18,62
7/22/18,60
7/29/18,72
8/5/18,52
8/12/18,46
8/19/18,66
8/26/18,56
9/2/18,53
9/9/18,43
9/16/18,43
9/23/18,29
9/30/18,23
10/7/18,27
10/14/18,22
10/21/18,22
10/28/18,29
11/4/18,59
11/11/18,61
11/18/18,45
11/25/18,73
12/2/18,91
12/9/18,76
12/16/18,65
12/23/18,50
12/30/18,51
1/6/19,52
1/13/19,56
